Source Name	Material Type	Characteristics[organism]	Characteristics[genotype]	Characteristics[sex]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[strain]	Characteristics[phenotype]	Characteristics[organism part]	Comment[gut]	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[phenotype]
OnyB1	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	Crop	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.1	P-MTAB-32292	Labeled Extract.1.biotin	biotin	P-AFFY-3	ArrayExpress	assay.1	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyB1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	Crop
OnyC1	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	proventriculus/R1	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.2	P-MTAB-32292	Labeled Extract.2.biotin	biotin	P-AFFY-3	ArrayExpress	assay.2	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyC1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	proventriculus/R1
OnyD1	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	R2	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.3	P-MTAB-32292	Labeled Extract.3.biotin	biotin	P-AFFY-3	ArrayExpress	assay.3	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyD1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	R2
OnyE1	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	R3	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.4	P-MTAB-32292	Labeled Extract.4.biotin	biotin	P-AFFY-3	ArrayExpress	assay.4	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyE1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	R3
OnyF1	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	R4	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.5	P-MTAB-32292	Labeled Extract.5.biotin	biotin	P-AFFY-3	ArrayExpress	assay.5	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyF1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	R4
OnyG1	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	R5	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.6	P-MTAB-32292	Labeled Extract.6.biotin	biotin	P-AFFY-3	ArrayExpress	assay.6	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyG1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	R5
OnyH1	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	Hindgut	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.7	P-MTAB-32292	Labeled Extract.7.biotin	biotin	P-AFFY-3	ArrayExpress	assay.7	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	Hindgut
OnyT1	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	whole gut	gut	whole gut	P-MTAB-32290	P-MTAB-32291	Extract.8	P-MTAB-32292	Labeled Extract.8.biotin	biotin	P-AFFY-3	ArrayExpress	assay.8	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyT1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	whole gut
OnyB2	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	Crop	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.9	P-MTAB-32292	Labeled Extract.9.biotin	biotin	P-AFFY-3	ArrayExpress	assay.9	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyB2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	Crop
OnyC2	organism part	Drosophila melanogaster	wild type	female	5	day	adult	Oregon R	proventriculus/R1	gut	gut region	P-MTAB-32290	P-MTAB-32291	Extract.10	P-MTAB-32292	Labeled Extract.10.biotin	biotin	P-AFFY-3	ArrayExpress	assay.10	A-AFFY-35	array assay	P-AFFY-6	ArrayExpress	OnyC2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1620/E-MTAB-1620.raw.1.zip	proventriculus/R1
